title,genres,keywords,director,cast,year,vote_average,runtime,overview,country
"Spirited Away","Animation Family Fantasy","spirit world bathhouse courage studio ghibli enchanting family","Hayao Miyazaki","Rumi Hiiragi Miyu Irino Mari Natsuki",2001,8.5,125,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",Japan
"The Dark Knight","Drama Action Crime Thriller","joker chaos gotham moral dilemma dark superhero","Christopher Nolan","Christian Bale Heath Ledger Michael Caine Gary Oldman",2008,8.5,152,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets.",United States
"Star Wars","Adventure Action Science Fiction","space opera jedi the force nostalgic classic rebellion","George Lucas","Mark Hamill Harrison Ford Carrie Fisher Alec Guinness",1977,8.2,121,"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together to rescue the beautiful princess.",United States
"Pulp Fiction","Thriller Crime","nonlinear hitman dialogue cult classic tarantino dark comedy","Quentin Tarantino","John Travolta Samuel L. Jackson Uma Thurman Bruce Willis",1994,8.5,154,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper.",United States
"Fight Club","Drama","insomnia alter ego consumerism mind-bending twist anarchy","David Fincher","Edward Norton Brad Pitt Helena Bonham Carter",1999,8.4,139,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground clubs forming in every town.",United States
"The Lion King","Animation Family Drama","savannah uncle pride disney wholesome family nostalgic","Roger Allers, Rob Minkoff","Matthew Broderick James Earl Jones Jeremy Irons",1994,8.3,89,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days.",United States
"Turning Red","Animation Comedy Family Fantasy","growing up family panda pixar funny wholesome","Domee Shi","Rosalie Chiang Sandra Oh Ava Morse",2022,7.4,100,"Thirteen-year-old Mei is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if that were not enough, whenever she gets too excited, she 'poofs' into a giant red panda!",United States
"Dune","Science Fiction Adventure","sandworms spice prophecy epic sci-fi cinematography immersive","Denis Villeneuve","Timothée Chalamet Rebecca Ferguson Oscar Isaac Zendaya",2021,7.8,155,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people.",United States
"Dune: Part Two","Science Fiction Adventure","rebellion holy war arrakis epic spectacle masterpiece","Denis Villeneuve","Timothée Chalamet Zendaya Rebecca Ferguson Javier Bardem",2024,8.8,166,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family.",United States
"Oppenheimer","Drama History","atomic bomb manhattan project politics moral guilt genius tense","Christopher Nolan","Cillian Murphy Emily Blunt Matt Damon Robert Downey Jr.",2023,8.9,181,"The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II, examining the scientific breakthrough and the devastating moral burden that followed.",United States
"The Social Network","Drama History","facebook harvard betrayal fast dialogue tech startup ambition","David Fincher","Jesse Eisenberg Andrew Garfield Justin Timberlake",2010,7.8,120,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits at his computer and heatedly begins working on a new idea: Facebook.",United States
"The Lord of the Rings: The Fellowship of the Ring","Adventure Fantasy Action","one ring middle earth fellowship journey epic fantasy nostalgic","Peter Jackson","Elijah Wood Ian McKellen Viggo Mortensen Sean Astin",2001,8.4,178,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home behind to embark on a perilous journey to Mount Doom to destroy it.",New Zealand
"The Lord of the Rings: The Return of the King","Adventure Fantasy Action","gondor final battle coronation epic climax inspiring masterpiece","Peter Jackson","Elijah Wood Ian McKellen Viggo Mortensen Andy Serkis",2003,8.6,201,"As armies mass for a final battle that will decide the fate of the world, one member of the Fellowship of the Ring is revealed as the noble heir to the throne of Men.",New Zealand
"The Godfather","Drama Crime","mafia family saga loyalty power dark cinema classic","Francis Ford Coppola","Marlon Brando Al Pacino James Caan Robert Duvall",1972,8.7,175,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch Vito Corleone barely survives an attempt on his life, his youngest son Michael steps in to take care of the would-be killers.",United States
"The Good, the Bad and the Ugly","Western","spaghetti western buried gold civil war showdown ennio morricone","Sergio Leone","Clint Eastwood Eli Wallach Lee Van Cleef",1966,8.5,161,"While the Civil War rages between the Union and a Confederacy, three men – a quiet loner, a ruthless hitman and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",Italy
"Cinema Paradiso","Drama Romance","film love nostalgic italy heartbreaking projectionist childhood","Giuseppe Tornatore","Philippe Noiret Salvatore Cascio Jacques Perrin",1988,8.5,155,"A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.",Italy
"The Secret in Their Eyes","Crime Drama Mystery Romance","unresolved crime obsession stadium scene unrequited love argentina twist","Juan José Campanella","Ricardo Darín Soledad Villamil Pablo Rago Guillermo Francella",2009,8,129,"Hoping to put to rest years of unease and a lingering yearning, a retired legal investigator writes a novel based on the unresolved 25-year-old homicide of a newly married woman.",Argentina
"Howl's Moving Castle","Animation Fantasy Adventure","magic castle pacifism curse romance studio ghibli wholesome","Hayao Miyazaki","Chieko Baisho Takuya Kimura Akihiro Miwa",2004,8.4,119,"Sophie, a quiet girl working in a hat shop, has her life thrown into turmoil when she is cursed with an old body by a spiteful witch. Her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.",Japan
"Back to the Future","Adventure Comedy Science Fiction Family","delorean time travel 1950s rock and roll nostalgic feel-good","Robert Zemeckis","Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover",1985,8.3,116,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - find a way back to 1985.",United States
"Se7en","Crime Mystery Thriller","serial killer seven deadly sins dark rainy city tense shocking ending","David Fincher","Brad Pitt Morgan Freeman Gwyneth Paltrow Kevin Spacey",1995,8.4,127,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the 'seven deadly sins' in this dark and haunting thriller.",United States
"Avatar","Action Adventure Fantasy Science Fiction","pandora bioluminescence alien culture visual effects adventure","James Cameron","Sam Worthington Zoe Saldaña Sigourney Weaver Stephen Lang",2009,7.6,162,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",United States
"Harry Potter and the Philosopher's Stone","Adventure Fantasy","hogwarts magic wizards nostalgic family cozy","Chris Columbus","Daniel Radcliffe Rupert Grint Emma Watson Richard Harris",2001,7.9,152,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry.",United Kingdom
"The Matrix","Action Science Fiction","simulation red pill bullet time cyberpunk mind-bending iconic","Lana Wachowski, Lilly Wachowski","Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving",1999,8.2,136,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",United States
"Your Name.","Animation Romance Drama","body swap red string of fate comet heartbreaking inspiring date night","Makoto Shinkai","Ryunosuke Kamiki Mone Kamishiraishi Ryo Narita",2016,8.5,106,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers.",Japan
"Spider-Man: Across the Spider-Verse","Animation Action Adventure Science Fiction","multiverse canon event animation innovation family thrilling","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore Hailee Steinfeld Oscar Isaac Daniel Kaluuya",2023,8.4,140,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence.",United States
"Life Is Beautiful","Comedy Drama","father and son world war ii heartbreaking inspiring humor in darkness","Roberto Benigni","Roberto Benigni Nicoletta Braschi Giorgio Cantarini",1997,8.5,116,"A touching story of an Italian book shop owner of Jewish heritage who employs his fertile imagination to shield his son from the horrors of internment in a Nazi concentration camp.",Italy
"Inside Out","Animation Family Adventure Drama Comedy","emotions joy sadness growing up feel-good family","Pete Docter","Amy Poehler Phyllis Smith Richard Kind Bill Hader",2015,7.9,95,"From an adventurous balloon ride above the clouds to a monster-filled metropolis, Academy Award®-winning director Pete Docter has taken audiences to unique and imaginative places. In Disney and Pixar’s original movie “ Inside Out,” he will take us to the most extraordinary location of all—inside the mind.",United States
"Inside Out 2","Animation Family Adventure Comedy","anxiety teenage puberty wholesome family funny","Kelsey Mann","Amy Poehler Maya Hawke Kensington Tallman Liza Lapira",2024,7.8,96,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust aren't sure how to feel when Anxiety shows up.",United States
"Joker","Crime Thriller Drama","mental illness isolation dark gotham character study alone","Todd Phillips","Joaquin Phoenix Robert De Niro Zazie Beetz",2019,8.2,122,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",United States
"The Dark Knight Rises","Action Crime Drama Thriller","bane revolution batman climax epic tense","Christopher Nolan","Christian Bale Tom Hardy Anne Hathaway Joseph Gordon-Levitt",2012,7.8,164,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department.",United States
"Eternal Sunshine of the Spotless Mind","Science Fiction Drama Romance","memory erasure heartbreaking mind-bending bittersweet romance unforgettable","Michel Gondry","Jim Carrey Kate Winslet Kirsten Dunst Mark Ruffalo",2004,8.1,108,"Joel Barish, heartbroken that his girlfriend Clementine underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realizes he still loves her, and may be too late to correct his mistake.",United States
"Titanic","Drama Romance","shipwreck tragic romance class divide heartbreaking nostalgic epic","James Cameron","Leonardo DiCaprio Kate Winslet Billy Zane Kathy Bates",1997,7.9,194,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—upon its first and last voyage.",United States
"Shutter Island","Drama Thriller Mystery","mental institution paranoia mind-bending twist ending late night intense","Martin Scorsese","Leonardo DiCaprio Mark Ruffalo Ben Kingsley Michelle Williams",2010,8.2,138,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",United States
"The Grand Budapest Hotel","Comedy Adventure","hotel concierge symmetry quirky funny date night visually stunning","Wes Anderson","Ralph Fiennes Tony Revolori Saoirse Ronan Willem Dafoe",2014,8,100,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé.",United States
"Guardians of the Galaxy","Action Science Fiction Adventure","awesome mix space outlaws groot friends funny feel-good","James Gunn","Chris Pratt Zoe Saldaña Dave Bautista Vin Diesel Bradley Cooper",2014,7.9,121,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",United States
"Cars","Animation Adventure Comedy Family","racing route 66 friendship background noise family comfort","John Lasseter","Owen Wilson Paul Newman Bonnie Hunt Larry the Cable Guy",2006,7,117,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs.",United States
"Up","Animation Comedy Family Adventure","balloons paradise falls heartbreaking intro inspiring family","Pete Docter","Edward Asner Christopher Plummer Jordan Nagai",2009,8,96,"Carl Fredricksen, a 78-year-old balloon salesman, is about to fulfill a lifelong dream. Tying thousands of balloons to his house, he flies away to the South American wilderness—but curmudgeonly Carl's worst nightmare comes true when he discovers a little boy named Russell is a stowaway.",United States
"Shrek","Animation Comedy Fantasy Family","ogre fairy tale parody donkey funny background noise friends","Andrew Adamson, Vicky Jenson","Mike Myers Eddie Murphy Cameron Diaz John Lithgow",2001,7.7,90,"It ain't easy bein' green -- especially if you're a likable (sorta) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an affectionate donkey who'd do anything -- except shut up.",United States
"Ferris Bueller's Day Off","Comedy","skipping school chicago ferrari nostalgic feel-good funny","John Hughes","Matthew Broderick Alan Ruck Mia Sara Jeffrey Jones",1986,7.8,103,"After high school slacker Ferris Bueller fakes being sick to skip class, he spends the day in Chicago with his best friend Cameron and girlfriend Sloane while trying to evade his suspicious principal and sister.",United States
"WALL·E","Animation Family Science Fiction","robot love earth cleanup space voyage inspiring visual poetry family","Andrew Stanton","Ben Burtt Elissa Knight Jeff Garlin Fred Willard",2008,8.1,98,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL-E discovers a new purpose in life when he meets a sleek search robot named EVE.",United States
"Schindler's List","Drama History War","holocaust red coat heartbreaking inspiring masterpiece alone","Steven Spielberg","Liam Neeson Ben Kingsley Ralph Fiennes",1993,8.6,195,"The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Holocaust by employing them in his factories during World War II.",United States
"The Shawshank Redemption","Drama Crime","hope prison escape friendship inspiring masterpiece feel-good","Frank Darabont","Tim Robbins Morgan Freeman Bob Gunton William Sadler",1994,8.7,142,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden.",United States
"The Prestige","Drama Mystery Science Fiction","magicians rivalry teleportation mind-bending twist ending obsession","Christopher Nolan","Christian Bale Hugh Jackman Michael Caine Scarlett Johansson",2006,8.2,130,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- to create the ultimate stage illusion -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",United Kingdom
"GoodFellas","Drama Crime","mobsters brooklyn heist fast-paced tense-thrilling classic","Martin Scorsese","Ray Liotta Robert De Niro Joe Pesci Lorraine Bracco",1990,8.5,145,"The true story of Henry Hill, a half-Irish, half-Sicilian boy in Brooklyn who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family.",United States
"Star Wars: The Force Awakens","Action Adventure Science Fiction","lightsaber first order millennium falcon friends nostalgic","J.J. Abrams","Daisy Ridley John Boyega Harrison Ford Adam Driver",2015,7.3,136,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",United States
"Soul","Animation Comedy Fantasy Music","jazz afterlife meaning of life inspiring feel-good existential","Pete Docter","Jamie Foxx Tina Fey Graham Norton Rachel House",2020,8.1,100,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar.",United States
"The Batman","Crime Mystery Thriller","riddler detective noir dark late night grunge tense","Matt Reeves","Robert Pattinson Zoë Kravitz Paul Dano Jeffrey Wright",2022,7.7,176,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",United States
"Wreck-It Ralph","Animation Comedy Family Adventure","arcade games nostalgic sugar rush family wholesome funny","Rich Moore","John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch",2012,7.3,101,"Wreck-It Ralph longs to be as beloved as his game's perfect Good Guy, Fix-It Felix. Problem is, nobody loves a Bad Guy. But they do love heroes... so when a modern, first-person shooter game arrives featuring tough-as-nails Sergeant Calhoun, Ralph sees it as his ticket to heroism and happiness.",United States
"The Shape of Water","Drama Fantasy Romance","amphibian man cold war fairy tale poetic romance date night","Guillermo del Toro","Sally Hawkins Michael Shannon Richard Jenkins Octavia Spencer",2017,7.3,123,"An other-worldly story set against the backdrop of Cold War era America circa 1962. In the hidden high-security government laboratory where she works, lonely Elisa is trapped in a life of silence and isolation. Elisa’s life is changed forever when she and co-worker Zelda discover a secret classified experiment.",United States
"American Beauty","Drama","suburbia mid-life crisis red roses alone dark comedy poignant","Sam Mendes","Kevin Spacey Annette Bening Thora Birch Wes Bentley",1999,8,122,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his life around after developing an infatuation with his daughter's attractive best friend.",United States
"3 Idiots","Comedy Drama","friendship college engineering inspirational chasing dreams feel-good","Rajkumar Hirani","Aamir Khan R. Madhavan Sharman Joshi Kareena Kapoor Khan Boman Irani",2009,8,170,"Two friends search for their long-lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them 'idiots'.",India
"RRR","Action Adventure Drama","brotherhood revolution colonial india epic action rebellion spectacle","S.S. Rajamouli","N.T. Rama Rao Jr. Ram Charan Alia Bhatt Ajay Devgn Olivia Morris",2022,7.8,182,"A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.",India
"Dangal","Drama Action Family","wrestling father daughter inspirational sports empowerment family triumph","Nitesh Tiwari","Aamir Khan Fatima Sana Shaikh Sanya Malhotra Sakshi Tanwar",2016,8,161,"Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",India
"Taare Zameen Par","Drama Family","dyslexia childhood art teacher empathy heartbreaking inspiring","Aamir Khan","Darsheel Safary Aamir Khan Tisca Chopra Vipin Sharma",2007,8,165,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",India
"Andhadhun","Thriller Mystery Comedy","blind pianist murder mystery mind-bending black comedy twists crime","Sriram Raghavan","Ayushmann Khurrana Tabu Radhika Apte Anil Dhawan",2018,7.7,139,"A series of mysterious events changes the life of a blind pianist who now must report a crime that was committed right in front of him.",India
"Tumbbad","Fantasy Horror Drama","greed ancient curse mythology dark atmospheric gold","Rahi Anil Barve","Sohum Shah Jyoti Malshe Anita Date-Kelkar Ronjini Chakraborty",2018,7.6,104,"A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born monster, Hastar.",India
"Zindagi Na Milegi Dobara","Drama Comedy Adventure","road trip spain friendship overcoming fear feel-good scuba diving","Zoya Akhtar","Hrithik Roshan Farhan Akhtar Abhay Deol Katrina Kaif Kalki Koechlin",2011,7.8,155,"Three childhood friends embark on a bachelor trip to Spain, where each must choose an ultimate bucket-list adventure to overcome their deepest fears.",India
"Gangs of Wasseypur","Crime Drama Action","revenge coal mafia feud dark gritty gangster epic","Anurag Kashyap","Manoj Bajpayee Nawazuddin Siddiqui Richa Chadha Pankaj Tripathi Huma Qureshi",2012,7.9,321,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, igniting a deadly multi-generational feud over coal mines and power.",India
"The Lunchbox","Drama Romance","mumbai dabbawala letters loneliness heartbreaking poetic quiet romance","Ritesh Batra","Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Lillete Dubey",2013,7.4,104,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a neglected housewife to an elderly widower about to retire.",India
"Drishyam","Crime Drama Thriller","alibi cinema buff police investigation tense-thrilling family protection","Nishikant Kamat","Ajay Devgn Tabu Shriya Saran Rajat Kapoor Ishita Dutta",2015,7.7,163,"Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.",India
"Lagaan: Once Upon a Time in India","Adventure Drama History","cricket colonial india underdog inspiring epic unity","Ashutosh Gowariker","Aamir Khan Gracy Singh Rachel Shelley Paul Blackthorne",2001,7.8,224,"In 1893 India, a small drought-ridden village takes on the British Empire in a high-stakes cricket match to avoid paying tyrannical taxes.",India
"Swades","Drama","nasa rural development patriotism inspiring social reform heartfelt","Ashutosh Gowariker","Shah Rukh Khan Gayatri Joshi Kishori Ballal Rajesh Vivek",2004,7.8,210,"A successful Indian scientist working at NASA returns to his native village to take his childhood nanny with him, and finds himself confronting grass-roots realities.",India
"Baahubali: The Beginning","Action Adventure Fantasy","kingdom waterfall warrior epic mythological fantasy spectacle","S.S. Rajamouli","Prabhas Rana Daggubati Anushka Shetty Tamannaah Bhatia Ramya Krishnan",2015,7.6,159,"A child from the Mahishmati kingdom is saved from death and raised by tribal villagers. As an adult, he is drawn into an epic clash of kingdoms and destinies.",India
"Queen","Comedy Drama","solo travel independence paris feel-good empowerment friendship","Vikas Bahl","Kangana Ranaut Rajkummar Rao Lisa Haydon Mish Boyko",2014,7.5,146,"A Delhi girl from a traditional family sets out on a solo honeymoon to Paris and Amsterdam after her fiancé calls off the wedding at the eleventh hour.",India
"Kantara","Action Adventure Drama Thriller","folklore divine spirit forest rights kambala tense-thrilling ritual","Rishab Shetty","Rishab Shetty Sapthami Gowda Kishore Achyuth Kumar",2022,7.7,148,"When greed paves the way for betrayal, scheming and murder, a young tribal champion finds himself inheriting ancestral spirits to protect his sacred forest.",India
"Dilwale Dulhania Le Jayenge","Comedy Drama Romance","europe trip classic romance feel-good date-night mustard fields family values","Aditya Chopra","Shah Rukh Khan Kajol Amrish Puri Farida Jalal Anupam Kher",1995,8.5,189,"Raj and Simran meet on a trip through Europe and fall in love. When Raj learns Simran is already promised to another, he follows her to India to win over her traditional family.",India
"Sholay","Action Adventure Drama","curry western gabbar singh revenge epic action classic friendship anthem","Ramesh Sippy","Dharmendra Amitabh Bachchan Sanjeev Kumar Hema Malini Amjad Khan",1975,7.7,198,"After his family is murdered by a notorious bandit, a former police officer enlists the help of two convicts to capture him alive.",India
"K.G.F: Chapter 1","Action Crime Drama","gold mines mass hero rebellion epic action mother promise underworld","Prashanth Neel","Yash Srinidhi Shetty Ramachandra Raju Archana Jois",2018,7.6,156,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people in the Kolar Gold Fields.",India
"Baahubali 2: The Conclusion","Action Adventure Fantasy","why kattappa killed baahubali royal betrayal epic war mythological fantasy spectacle","S.S. Rajamouli","Prabhas Rana Daggubati Anushka Shetty Sathyaraj Ramya Krishnan",2017,7.8,167,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",India
"Pather Panchali","Drama","apu trilogy neorealism childhood rural bengal masterpiece poetic","Satyajit Ray","Subir Banerjee Kanu Banerjee Karuna Banerjee Uma Dasgupta Chunibala Devi",1955,8,125,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",India
"Kahaani","Mystery Thriller Drama","mind-bending kolkata pregnant woman twist investigation mystery subconscious alone","Sujoy Ghosh","Vidya Balan Parambrata Chatterjee Nawazuddin Siddiqui Saswata Chatterjee",2012,7.7,122,"A pregnant woman arrives in Kolkata from London to search for her missing husband, but everyone she questions denies having ever met him, leading into a labyrinth of deception.",India
"Talaash: The Answer Lies Within","Mystery Drama Thriller","mind-bending supernatural mystery insomnia red light district haunted alone twist","Reema Kagti","Aamir Khan Kareena Kapoor Khan Rani Mukerji Nawazuddin Siddiqui",2012,7.2,140,"A brooding police officer investigating a film star's mysterious death finds himself haunted by suppressed memories of his deceased son and guided by an enigmatic escort.",India
"13B: Fear Has a New Address","Horror Mystery Thriller","mind-bending television curse apartment psychological alone late night","Vikram K. Kumar","R. Madhavan Neetu Chandra Poonam Dhillon Sachin Khedekar",2009,6.9,146,"A man experiences supernatural events in his new apartment, where an ominous television soap opera begins predicting the future of his family in exact terrifying detail.",India
"Lucia","Science Fiction Thriller Mystery Drama","mind-bending lucid dream insomnia drugs simulation reality warping alone","Pawan Kumar","Sathish Ninasam Sruthi Hariharan Achyuth Kumar",2013,7.7,135,"An insomniac usher gets tricked into buying an experimental drug that lets him live out his wildest fantasies in lucid dreams, but blurs the boundary between reality and dream world.",India
"24","Science Fiction Action Thriller","mind-bending time travel watchmaker relativity sci-fi inventor destiny","Vikram K. Kumar","Suriya Samantha Ruth Prabhu Nithya Menen Saranya Ponvannan",2016,7.4,164,"A brilliant watchmaker invents a time-travel watch. Decades later, his son must protect the device from his ruthless twin uncle who seeks to rewrite history.",India
